Maioria,EX,Soft_F1,Stats,Similarity,VES,QAS,EM,CM,StCo,LFA,LeCo,SkCo,PCMF1
0,0,0.000,0.000,0.009,0.000,0.239,0.000,0.743,0.000,0.000,0.469,0.000,0.825
0,0,0.000,0.000,0.129,0.000,0.346,0.000,0.693,0.000,0.000,0.563,1.000,0.765
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.000,0.000
0,0,0.000,0.000,0.333,0.000,0.464,0.000,0.679,0.000,0.000,0.595,0.000,0.792
0,0,0.000,0.000,0.333,0.000,0.426,0.000,0.643,0.000,0.000,0.519,0.000,0.765
0,0,0.000,0.000,0.333,0.000,0.395,0.000,0.654,0.000,0.000,0.456,0.000,0.768
1,0,0.850,1.000,0.921,0.000,0.794,0.000,0.833,0.000,0.000,0.666,1.000,0.894
0,0,0.000,0.000,0.021,0.000,0.309,0.000,0.625,0.000,0.000,0.596,1.000,0.742
0,0,0.108,0.000,0.071,0.000,0.336,0.000,0.792,0.000,0.000,0.601,0.000,0.852
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.502,0.000,0.000
1,0,0.850,1.000,0.921,0.000,0.759,0.000,0.768,0.000,0.000,0.597,0.000,0.848
0,0,0.000,0.000,0.021,0.000,0.285,0.000,0.552,0.000,0.000,0.549,1.000,0.678
0,0,0.000,0.000,0.244,0.000,0.254,0.000,0.792,0.000,0.000,0.264,0.000,0.867
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.451,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.502,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.541,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.580,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.442,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.338,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.305,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.331,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.000,0.000
1,0,0.600,1.000,0.818,0.000,0.582,0.000,0.531,0.000,0.000,0.347,0.000,0.609
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.000,0.000
